1.7528 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
2.6858 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.6861 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.7471 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'hello welcome to the lab. You will be watching videos that will teach us something"', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.7680 	EXP 	TextStim: autoLog = None
2.7680 	EXP 	TextStim: units = None
2.7680 	EXP 	TextStim: useShaders = None
2.7680 	EXP 	TextStim: depth = None
2.7680 	EXP 	TextStim: ori = None
2.7680 	EXP 	TextStim: pos = None
2.7680 	EXP 	TextStim: colorSpace = None
2.7680 	EXP 	TextStim: opacity = None
2.7680 	EXP 	TextStim: contrast = None
2.7680 	EXP 	ImageStim: autoLog = None
2.7680 	EXP 	ImageStim: units = None
2.7680 	EXP 	ImageStim: useShaders = None
2.7680 	EXP 	ImageStim: size = None
2.7680 	EXP 	ImageStim: pos = None
2.7680 	EXP 	ImageStim: ori = None
2.7680 	EXP 	ImageStim: depth = None
2.7680 	EXP 	ImageStim: contrast = None
2.7680 	EXP 	ImageStim: opacity = None
2.7680 	EXP 	ImageStim: autoLog = None
2.7680 	EXP 	ImageStim: units = None
2.7680 	EXP 	ImageStim: useShaders = None
2.7680 	EXP 	ImageStim: size = None
2.7680 	EXP 	ImageStim: pos = None
2.7680 	EXP 	ImageStim: ori = None
2.7680 	EXP 	ImageStim: depth = None
2.7680 	EXP 	ImageStim: contrast = None
2.7680 	EXP 	ImageStim: opacity = None
2.7680 	EXP 	TextStim: autoDraw = None
2.7680 	EXP 	ImageStim: autoDraw = None
3.7014 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7014 	EXP 	Sound  started
4.1746 	DATA 	Mouse: Left button down, pos=(1076,1145)
4.2352 	EXP 	TextStim: autoDraw = None
4.2352 	EXP 	ImageStim: autoDraw = None
4.2352 	EXP 	MovieStim: autoLog = None
4.2352 	EXP 	MovieStim: units = None
4.2352 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.2352 	EXP 	MovieStim: pos = None
4.2352 	EXP 	MovieStim: depth = None
4.2352 	EXP 	MovieStim: colorSpace = None
4.2352 	EXP 	MovieStim: opacity = None
4.2352 	EXP 	MovieStim: size = None
4.2352 	EXP 	MovieStim: ori = None
4.2352 	EXP 	MovieStim: autoLog = None
4.2352 	EXP 	MovieStim: units = None
4.2352 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
4.2352 	EXP 	MovieStim: pos = None
4.2352 	EXP 	MovieStim: depth = None
4.2352 	EXP 	MovieStim: colorSpace = None
