1.8253 	WARNING 	User requested fullscreen with size [800 800], but screen is actually [2560, 1440]. Using actual size
2.7570 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.7572 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.8182 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'type': u'vide', 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.8530 	EXP 	TextStim: autoLog = None
2.8530 	EXP 	TextStim: units = None
2.8530 	EXP 	TextStim: useShaders = None
2.8530 	EXP 	TextStim: depth = None
2.8530 	EXP 	TextStim: ori = None
2.8530 	EXP 	TextStim: pos = None
2.8530 	EXP 	TextStim: colorSpace = None
2.8530 	EXP 	TextStim: opacity = None
2.8530 	EXP 	TextStim: contrast = None
2.8530 	EXP 	ImageStim: autoLog = None
2.8530 	EXP 	ImageStim: units = None
2.8530 	EXP 	ImageStim: useShaders = None
2.8530 	EXP 	ImageStim: size = None
2.8530 	EXP 	ImageStim: pos = None
2.8530 	EXP 	ImageStim: ori = None
2.8530 	EXP 	ImageStim: depth = None
2.8530 	EXP 	ImageStim: contrast = None
2.8530 	EXP 	ImageStim: opacity = None
2.8530 	EXP 	ImageStim: autoLog = None
2.8530 	EXP 	ImageStim: units = None
2.8530 	EXP 	ImageStim: useShaders = None
2.8530 	EXP 	ImageStim: size = None
2.8530 	EXP 	ImageStim: pos = None
2.8530 	EXP 	ImageStim: ori = None
2.8530 	EXP 	ImageStim: depth = None
2.8530 	EXP 	ImageStim: contrast = None
2.8530 	EXP 	ImageStim: opacity = None
2.8530 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
2.8530 	EXP 	TextStim: autoDraw = None
2.8530 	EXP 	ImageStim: autoDraw = None
3.2327 	DATA 	Mouse: Left button down, pos=(936,784)
3.3286 	DATA 	Mouse: Left button up, pos=(936,784)
4.1704 	DATA 	Mouse: Left button down, pos=(422,770)
4.1855 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1855 	EXP 	Sound  started
4.5539 	DATA 	Mouse: Left button up, pos=(422,770)
