1.8569 	WARNING 	User requested fullscreen with size [800 800], but screen is actually [2560, 1440]. Using actual size
2.7975 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.7978 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.8589 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'type': u'vide', 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.8978 	EXP 	TextStim: autoLog = None
2.8978 	EXP 	TextStim: units = None
2.8978 	EXP 	TextStim: useShaders = None
2.8978 	EXP 	TextStim: depth = None
2.8978 	EXP 	TextStim: ori = None
2.8978 	EXP 	TextStim: pos = None
2.8978 	EXP 	TextStim: colorSpace = None
2.8978 	EXP 	TextStim: opacity = None
2.8978 	EXP 	TextStim: contrast = None
2.8978 	EXP 	ImageStim: autoLog = None
2.8978 	EXP 	ImageStim: units = None
2.8978 	EXP 	ImageStim: useShaders = None
2.8978 	EXP 	ImageStim: size = None
2.8978 	EXP 	ImageStim: pos = None
2.8978 	EXP 	ImageStim: ori = None
2.8978 	EXP 	ImageStim: depth = None
2.8978 	EXP 	ImageStim: contrast = None
2.8978 	EXP 	ImageStim: opacity = None
2.8978 	EXP 	ImageStim: autoLog = None
2.8978 	EXP 	ImageStim: units = None
2.8978 	EXP 	ImageStim: useShaders = None
2.8978 	EXP 	ImageStim: size = None
2.8978 	EXP 	ImageStim: pos = None
2.8978 	EXP 	ImageStim: ori = None
2.8978 	EXP 	ImageStim: depth = None
2.8978 	EXP 	ImageStim: contrast = None
2.8978 	EXP 	ImageStim: opacity = None
2.8978 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
2.8978 	EXP 	TextStim: autoDraw = None
2.8978 	EXP 	ImageStim: autoDraw = None
4.0488 	DATA 	Mouse: Left button down, pos=(492,884)
4.0643 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.0644 	EXP 	Sound  started
4.4346 	DATA 	Mouse: Left button up, pos=(492,884)
4.5830 	EXP 	TextStim: autoDraw = None
