2.9609 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
4.3886 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
4.3994 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.4731 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
4.5113 	EXP 	TextStim: autoLog = None
4.5113 	EXP 	TextStim: units = None
4.5113 	EXP 	TextStim: useShaders = None
4.5113 	EXP 	TextStim: depth = None
4.5113 	EXP 	TextStim: ori = None
4.5113 	EXP 	TextStim: pos = None
4.5113 	EXP 	TextStim: colorSpace = None
4.5113 	EXP 	TextStim: opacity = None
4.5113 	EXP 	TextStim: contrast = None
4.5113 	EXP 	ImageStim: autoLog = None
4.5113 	EXP 	ImageStim: units = None
4.5113 	EXP 	ImageStim: useShaders = None
4.5113 	EXP 	ImageStim: size = None
4.5113 	EXP 	ImageStim: pos = None
4.5113 	EXP 	ImageStim: ori = None
4.5113 	EXP 	ImageStim: depth = None
4.5113 	EXP 	ImageStim: contrast = None
4.5113 	EXP 	ImageStim: opacity = None
4.5113 	EXP 	ImageStim: autoLog = None
4.5113 	EXP 	ImageStim: units = None
4.5113 	EXP 	ImageStim: useShaders = None
4.5113 	EXP 	ImageStim: size = None
4.5113 	EXP 	ImageStim: pos = None
4.5113 	EXP 	ImageStim: ori = None
4.5113 	EXP 	ImageStim: depth = None
4.5113 	EXP 	ImageStim: contrast = None
4.5113 	EXP 	ImageStim: opacity = None
4.5113 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
4.5113 	EXP 	TextStim: autoDraw = None
4.5113 	EXP 	ImageStim: autoDraw = None
5.6128 	DATA 	Mouse: Left button down, pos=(750,735)
5.7946 	DATA 	Mouse: Left button up, pos=(750,735)
5.8279 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8280 	EXP 	Sound  started
6.3633 	EXP 	TextStim: autoDraw = None
6.3633 	EXP 	ImageStim: autoDraw = None
6.3633 	EXP 	MovieStim: autoLog = None
6.3633 	EXP 	MovieStim: units = None
6.3633 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
6.3633 	EXP 	MovieStim: pos = None
6.3633 	EXP 	MovieStim: depth = None
6.3633 	EXP 	MovieStim: colorSpace = None
6.3633 	EXP 	MovieStim: opacity = None
6.3633 	EXP 	MovieStim: size = None
6.3633 	EXP 	MovieStim: ori = None
6.3633 	EXP 	MovieStim: autoLog = None
6.3633 	EXP 	MovieStim: units = None
6.3633 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
6.3633 	EXP 	MovieStim: pos = None
6.3633 	EXP 	MovieStim: depth = None
6.3633 	EXP 	MovieStim: colorSpace = None
6.3633 	EXP 	MovieStim: opacity = None
6.3633 	EXP 	MovieStim: size = None
6.3633 	EXP 	MovieStim: ori = None
6.3633 	EXP 	MovieStim: autoDraw = None
6.3633 	EXP 	MovieStim: autoDraw = None
6.3636 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3636 	EXP 	Sound  started
6.3804 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3804 	EXP 	Sound  started
6.3970 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3971 	EXP 	Sound  started
6.4133 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4134 	EXP 	Sound  started
6.4300 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4301 	EXP 	Sound  started
6.4467 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4468 	EXP 	Sound  started
6.4635 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4636 	EXP 	Sound  started
6.4799 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4799 	EXP 	Sound  started
6.4966 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4966 	EXP 	Sound  started
6.5138 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.5138 	EXP 	Sound  started
6.5302 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.5302 	EXP 	Sound  started
6.5468 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.5468 	EXP 	Sound  started
6.5636 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.5636 	EXP 	Sound  started
6.5969 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.5969 	EXP 	Sound  started
6.6133 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.6133 	EXP 	Sound  started
6.6302 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.6302 	EXP 	Sound  started
6.6469 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.6469 	EXP 	Sound  started
6.6653 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.6654 	EXP 	Sound  started
6.6791 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.6791 	EXP 	Sound  started
6.6957 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.6957 	EXP 	Sound  started
6.7119 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.7119 	EXP 	Sound  started
6.7288 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.7288 	EXP 	Sound  started
6.7455 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.7455 	EXP 	Sound  started
6.7623 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.7623 	EXP 	Sound  started
6.7787 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.7787 	EXP 	Sound  started
6.7951 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.7951 	EXP 	Sound  started
6.8117 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.8117 	EXP 	Sound  started
6.8290 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.8290 	EXP 	Sound  started
6.8458 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.8458 	EXP 	Sound  started
6.8619 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.8619 	EXP 	Sound  started
6.8785 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.8785 	EXP 	Sound  started
6.8956 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.8956 	EXP 	Sound  started
6.9121 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.9121 	EXP 	Sound  started
6.9288 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.9288 	EXP 	Sound  started
6.9456 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.9456 	EXP 	Sound  started
6.9623 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.9624 	EXP 	Sound  started
6.9787 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.9787 	EXP 	Sound  started
6.9960 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.9961 	EXP 	Sound  started
7.0118 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.0118 	EXP 	Sound  started
7.0297 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.0297 	EXP 	Sound  started
7.0460 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.0460 	EXP 	Sound  started
7.0629 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.0629 	EXP 	Sound  started
7.0788 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.0788 	EXP 	Sound  started
7.0959 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.0959 	EXP 	Sound  started
7.1122 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.1123 	EXP 	Sound  started
7.1291 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.1291 	EXP 	Sound  started
7.1457 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.1457 	EXP 	Sound  started
7.1624 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.1625 	EXP 	Sound  started
7.1787 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.1787 	EXP 	Sound  started
7.1955 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.1955 	EXP 	Sound  started
7.2121 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.2121 	EXP 	Sound  started
7.2287 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.2287 	EXP 	Sound  started
7.2459 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.2459 	EXP 	Sound  started
7.2624 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.2625 	EXP 	Sound  started
7.2790 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.2790 	EXP 	Sound  started
7.2955 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.2955 	EXP 	Sound  started
7.3123 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.3123 	EXP 	Sound  started
7.3296 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.3296 	EXP 	Sound  started
7.3456 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.3456 	EXP 	Sound  started
7.3622 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.3622 	EXP 	Sound  started
7.3790 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.3790 	EXP 	Sound  started
7.3964 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.3964 	EXP 	Sound  started
7.4130 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.4130 	EXP 	Sound  started
7.4296 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.4296 	EXP 	Sound  started
7.4459 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.4459 	EXP 	Sound  started
7.4624 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.4624 	EXP 	Sound  started
7.4790 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.4790 	EXP 	Sound  started
7.4956 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.4956 	EXP 	Sound  started
7.5123 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.5124 	EXP 	Sound  started
7.5288 	EXP 	Set movie finished
7.5290 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.5290 	EXP 	Sound  started
7.5454 	EXP 	Set movie paused
7.5456 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.5456 	EXP 	Sound  started
7.5628 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.5628 	EXP 	Sound  started
7.5792 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.5792 	EXP 	Sound  started
7.5957 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.5957 	EXP 	Sound  started
7.6123 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.6123 	EXP 	Sound  started
7.6291 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.6291 	EXP 	Sound  started
7.6457 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.6457 	EXP 	Sound  started
7.6623 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.6624 	EXP 	Sound  started
7.6789 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.6790 	EXP 	Sound  started
7.6962 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.6962 	EXP 	Sound  started
7.7128 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.7128 	EXP 	Sound  started
7.7293 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.7293 	EXP 	Sound  started
7.7458 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.7458 	EXP 	Sound  started
7.7623 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.7623 	EXP 	Sound  started
7.7795 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.7795 	EXP 	Sound  started
7.7958 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.7958 	EXP 	Sound  started
7.8129 	EXP 	Set movie finished
7.8131 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.8131 	EXP 	Sound  started
7.8293 	EXP 	Set movie paused
7.8295 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.8295 	EXP 	Sound  started
7.8459 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
7.8459 	EXP 	Sound  started
7.8631 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
