1.3430 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
2.2838 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.2840 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.3445 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.3795 	EXP 	TextStim: autoLog = None
2.3795 	EXP 	TextStim: units = None
2.3795 	EXP 	TextStim: useShaders = None
2.3795 	EXP 	TextStim: depth = None
2.3795 	EXP 	TextStim: ori = None
2.3795 	EXP 	TextStim: pos = None
2.3795 	EXP 	TextStim: colorSpace = None
2.3795 	EXP 	TextStim: opacity = None
2.3795 	EXP 	TextStim: contrast = None
2.3795 	EXP 	ImageStim: autoLog = None
2.3795 	EXP 	ImageStim: units = None
2.3795 	EXP 	ImageStim: useShaders = None
2.3795 	EXP 	ImageStim: size = None
2.3795 	EXP 	ImageStim: pos = None
2.3795 	EXP 	ImageStim: ori = None
2.3795 	EXP 	ImageStim: depth = None
2.3795 	EXP 	ImageStim: contrast = None
2.3795 	EXP 	ImageStim: opacity = None
2.3795 	EXP 	ImageStim: autoLog = None
2.3795 	EXP 	ImageStim: units = None
2.3795 	EXP 	ImageStim: useShaders = None
2.3795 	EXP 	ImageStim: size = None
2.3795 	EXP 	ImageStim: pos = None
2.3795 	EXP 	ImageStim: ori = None
2.3795 	EXP 	ImageStim: depth = None
2.3795 	EXP 	ImageStim: contrast = None
2.3795 	EXP 	ImageStim: opacity = None
2.3795 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
2.3795 	EXP 	TextStim: autoDraw = None
2.3795 	EXP 	ImageStim: autoDraw = None
3.4971 	DATA 	Mouse: Left button down, pos=(653,847)
3.5119 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5119 	EXP 	Sound  started
3.8801 	DATA 	Mouse: Left button up, pos=(653,847)
4.0288 	EXP 	TextStim: autoDraw = None
4.0288 	EXP 	ImageStim: autoDraw = None
4.0288 	EXP 	MovieStim: autoLog = None
4.0288 	EXP 	MovieStim: units = None
4.0288 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.0288 	EXP 	MovieStim: pos = None
4.0288 	EXP 	MovieStim: depth = None
4.0288 	EXP 	MovieStim: colorSpace = None
4.0288 	EXP 	MovieStim: opacity = None
4.0288 	EXP 	MovieStim: size = None
4.0288 	EXP 	MovieStim: ori = None
4.0288 	EXP 	MovieStim: autoLog = None
4.0288 	EXP 	MovieStim: units = None
4.0288 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
