2.1766 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
3.0593 	EXP 	Imported test.csv as conditions, 3 conditions, 10 params
3.0596 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
3.1193 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
3.1370 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.1370 	EXP 	Sound  started
3.6566 	EXP 	ImageStim: autoLog = None
3.6566 	EXP 	ImageStim: units = None
3.6566 	EXP 	ImageStim: useShaders = None
3.6566 	EXP 	ImageStim: size = None
3.6566 	EXP 	ImageStim: pos = None
3.6566 	EXP 	ImageStim: ori = None
3.6566 	EXP 	ImageStim: depth = None
3.6566 	EXP 	ImageStim: contrast = None
3.6566 	EXP 	ImageStim: opacity = None
3.6566 	EXP 	MovieStim: autoLog = None
3.6566 	EXP 	MovieStim: units = None
3.6566 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
3.6566 	EXP 	MovieStim: pos = None
3.6566 	EXP 	MovieStim: depth = None
3.6566 	EXP 	MovieStim: colorSpace = None
3.6566 	EXP 	MovieStim: opacity = None
3.6566 	EXP 	MovieStim: size = None
3.6566 	EXP 	MovieStim: ori = None
3.6566 	EXP 	MovieStim: autoLog = None
3.6566 	EXP 	MovieStim: units = None
3.6566 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
3.6566 	EXP 	MovieStim: pos = None
3.6566 	EXP 	MovieStim: depth = None
3.6566 	EXP 	MovieStim: colorSpace = None
3.6566 	EXP 	MovieStim: opacity = None
3.6566 	EXP 	MovieStim: size = None
3.6566 	EXP 	MovieStim: ori = None
3.6566 	EXP 	MovieStim: autoDraw = None
3.6566 	EXP 	MovieStim: autoDraw = None
3.6570 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6571 	EXP 	Sound  started
3.6739 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6740 	EXP 	Sound  started
3.6916 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6916 	EXP 	Sound  started
3.7074 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7075 	EXP 	Sound  started
3.7241 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7241 	EXP 	Sound  started
3.7400 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7400 	EXP 	Sound  started
3.7572 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7572 	EXP 	Sound  started
3.7735 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7735 	EXP 	Sound  started
3.7900 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7901 	EXP 	Sound  started
3.8072 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8072 	EXP 	Sound  started
3.8235 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8235 	EXP 	Sound  started
3.8402 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8403 	EXP 	Sound  started
3.8570 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8570 	EXP 	Sound  started
3.8733 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8733 	EXP 	Sound  started
3.8901 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8901 	EXP 	Sound  started
3.9072 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9072 	EXP 	Sound  started
3.9241 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9242 	EXP 	Sound  started
3.9406 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9406 	EXP 	Sound  started
3.9568 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9568 	EXP 	Sound  started
3.9737 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9737 	EXP 	Sound  started
3.9906 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9907 	EXP 	Sound  started
4.0070 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.0070 	EXP 	Sound  started
4.0238 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.0238 	EXP 	Sound  started
4.0407 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.0407 	EXP 	Sound  started
4.0576 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.0576 	EXP 	Sound  started
4.0742 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.0743 	EXP 	Sound  started
4.0910 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.0910 	EXP 	Sound  started
4.1078 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1078 	EXP 	Sound  started
4.1237 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1237 	EXP 	Sound  started
4.1407 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1407 	EXP 	Sound  started
4.1578 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1579 	EXP 	Sound  started
4.1737 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1738 	EXP 	Sound  started
4.1905 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1905 	EXP 	Sound  started
4.2076 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.2076 	EXP 	Sound  started
4.2246 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.2246 	EXP 	Sound  started
4.2402 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.2402 	EXP 	Sound  started
