2.7276 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
3.9717 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
3.9825 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.0477 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
4.0913 	EXP 	TextStim: autoLog = None
4.0913 	EXP 	TextStim: units = None
4.0913 	EXP 	TextStim: useShaders = None
4.0913 	EXP 	TextStim: depth = None
4.0913 	EXP 	TextStim: ori = None
4.0913 	EXP 	TextStim: pos = None
4.0913 	EXP 	TextStim: colorSpace = None
4.0913 	EXP 	TextStim: opacity = None
4.0913 	EXP 	TextStim: contrast = None
4.0913 	EXP 	ImageStim: autoLog = None
4.0913 	EXP 	ImageStim: units = None
4.0913 	EXP 	ImageStim: useShaders = None
4.0913 	EXP 	ImageStim: size = None
4.0913 	EXP 	ImageStim: pos = None
4.0913 	EXP 	ImageStim: ori = None
4.0913 	EXP 	ImageStim: depth = None
4.0913 	EXP 	ImageStim: contrast = None
4.0913 	EXP 	ImageStim: opacity = None
4.0913 	EXP 	ImageStim: autoLog = None
4.0913 	EXP 	ImageStim: units = None
4.0913 	EXP 	ImageStim: useShaders = None
4.0913 	EXP 	ImageStim: size = None
4.0913 	EXP 	ImageStim: pos = None
4.0913 	EXP 	ImageStim: ori = None
4.0913 	EXP 	ImageStim: depth = None
4.0913 	EXP 	ImageStim: contrast = None
4.0913 	EXP 	ImageStim: opacity = None
4.0913 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
4.0913 	EXP 	TextStim: autoDraw = None
4.0913 	EXP 	ImageStim: autoDraw = None
4.5706 	DATA 	Mouse: Left button down, pos=(1042,933)
4.7643 	DATA 	Mouse: Left button up, pos=(1042,933)
4.8027 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8028 	EXP 	Sound  started
5.3248 	EXP 	TextStim: autoDraw = None
5.3248 	EXP 	ImageStim: autoDraw = None
5.3248 	EXP 	MovieStim: autoLog = None
5.3248 	EXP 	MovieStim: units = None
5.3248 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
