2.7674 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.7677 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.8283 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'type': u'vide', 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.8635 	EXP 	TextStim: autoLog = None
2.8635 	EXP 	TextStim: units = None
2.8635 	EXP 	TextStim: useShaders = None
2.8635 	EXP 	TextStim: depth = None
2.8635 	EXP 	TextStim: ori = None
2.8635 	EXP 	TextStim: pos = None
2.8635 	EXP 	TextStim: colorSpace = None
2.8635 	EXP 	TextStim: opacity = None
2.8635 	EXP 	TextStim: contrast = None
2.8635 	EXP 	ImageStim: autoLog = None
2.8635 	EXP 	ImageStim: units = None
2.8635 	EXP 	ImageStim: useShaders = None
2.8635 	EXP 	ImageStim: size = None
2.8635 	EXP 	ImageStim: pos = None
2.8635 	EXP 	ImageStim: ori = None
2.8635 	EXP 	ImageStim: depth = None
2.8635 	EXP 	ImageStim: contrast = None
2.8635 	EXP 	ImageStim: opacity = None
2.8635 	EXP 	ImageStim: autoLog = None
2.8635 	EXP 	ImageStim: units = None
2.8635 	EXP 	ImageStim: useShaders = None
2.8635 	EXP 	ImageStim: size = None
2.8635 	EXP 	ImageStim: pos = None
2.8635 	EXP 	ImageStim: ori = None
2.8635 	EXP 	ImageStim: depth = None
2.8635 	EXP 	ImageStim: contrast = None
2.8635 	EXP 	ImageStim: opacity = None
2.8635 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
2.8635 	EXP 	TextStim: autoDraw = None
2.8635 	EXP 	ImageStim: autoDraw = None
3.5822 	DATA 	Mouse: Left button down, pos=(166,480)
3.6130 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6130 	EXP 	Sound  started
3.9820 	DATA 	Mouse: Left button up, pos=(166,480)
4.1318 	EXP 	TextStim: autoDraw = None
4.1318 	EXP 	ImageStim: autoDraw = None
4.1318 	EXP 	MovieStim: autoLog = None
4.1318 	EXP 	MovieStim: units = None
4.1318 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.1318 	EXP 	MovieStim: pos = None
4.1318 	EXP 	MovieStim: depth = None
4.1318 	EXP 	MovieStim: colorSpace = None
4.1318 	EXP 	MovieStim: opacity = None
4.1318 	EXP 	MovieStim: size = None
4.1318 	EXP 	MovieStim: ori = None
