1.9096 	EXP 	Imported test.csv as conditions, 3 conditions, 7 params
1.9099 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
1.9382 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'verb': u'headbutt', 'verbtwo': u'rock', 'receiver': u'chef', 'correct': 1, 'actor': u'bandit', 'actortwo': u'bandit'}
2.4810 	EXP 	ImageStim: autoLog = None
2.4810 	EXP 	ImageStim: units = None
2.4810 	EXP 	ImageStim: useShaders = None
2.4810 	EXP 	ImageStim: size = None
2.4810 	EXP 	ImageStim: pos = None
2.4810 	EXP 	ImageStim: ori = None
2.4810 	EXP 	ImageStim: depth = None
2.4810 	EXP 	ImageStim: contrast = None
2.4810 	EXP 	ImageStim: opacity = None
2.4810 	EXP 	MovieStim: autoLog = None
2.4810 	EXP 	MovieStim: units = None
2.4810 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
2.4810 	EXP 	MovieStim: pos = None
2.4810 	EXP 	MovieStim: depth = None
2.4810 	EXP 	MovieStim: colorSpace = None
2.4810 	EXP 	MovieStim: opacity = None
2.4810 	EXP 	MovieStim: size = None
2.4810 	EXP 	MovieStim: ori = None
2.4810 	EXP 	MovieStim: autoLog = None
2.4810 	EXP 	MovieStim: units = None
2.4810 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
2.4810 	EXP 	MovieStim: pos = None
2.4810 	EXP 	MovieStim: depth = None
2.4810 	EXP 	MovieStim: colorSpace = None
2.4810 	EXP 	MovieStim: opacity = None
2.4810 	EXP 	MovieStim: size = None
2.4810 	EXP 	MovieStim: ori = None
2.4810 	EXP 	MovieStim: autoDraw = None
2.4810 	EXP 	MovieStim: autoDraw = None
2.8384 	DATA 	Mouse: Left button down, pos=(985,871)
2.8397 	EXP 	New trial (rep=0, index=1): {'receivertwo': u'chef', 'verb': u'knockover', 'verbtwo': u'knockover', 'receiver': u'hunter', 'correct': 2, 'actor': u'bandit', 'actortwo': u'bandit'}
3.1938 	DATA 	Mouse: Left button up, pos=(1922,874)
3.3612 	EXP 	MovieStim: autoDraw = None
3.3612 	EXP 	MovieStim: autoDraw = None
3.3612 	EXP 	MovieStim: autoLog = None
3.3612 	EXP 	MovieStim: units = None
3.3612 	EXP 	Set movie movie=videos/bandit_hunter_knockover.avi
3.3612 	EXP 	MovieStim: pos = None
3.3612 	EXP 	MovieStim: depth = None
3.3612 	EXP 	MovieStim: colorSpace = None
3.3612 	EXP 	MovieStim: opacity = None
3.3612 	EXP 	MovieStim: size = None
3.3612 	EXP 	MovieStim: ori = None
3.3612 	EXP 	MovieStim: autoLog = None
3.3612 	EXP 	MovieStim: units = None
3.3612 	EXP 	Set movie movie=videos/bandit_chef_knockover.avi
3.3612 	EXP 	MovieStim: pos = None
3.3612 	EXP 	MovieStim: depth = None
3.3612 	EXP 	MovieStim: colorSpace = None
3.3612 	EXP 	MovieStim: opacity = None
3.3612 	EXP 	MovieStim: size = None
3.3612 	EXP 	MovieStim: ori = None
3.3612 	EXP 	MovieStim: autoDraw = None
3.3612 	EXP 	MovieStim: autoDraw = None
4.0842 	DATA 	Mouse: Left button down, pos=(2169,855)
4.0853 	EXP 	New trial (rep=0, index=2): {'receivertwo': u'ref', 'verb': u'rock', 'verbtwo': u'headbutt', 'receiver': u'ref', 'correct': 2, 'actor': u'bandit', 'actortwo': u'bandit'}
4.4793 	DATA 	Mouse: Left button up, pos=(2164,855)
4.6111 	EXP 	MovieStim: autoDraw = None
4.6111 	EXP 	MovieStim: autoDraw = None
4.6111 	EXP 	MovieStim: autoLog = None
4.6111 	EXP 	MovieStim: units = None
4.6111 	EXP 	Set movie movie=videos/bandit_ref_rock.avi
4.6111 	EXP 	MovieStim: pos = None
4.6111 	EXP 	MovieStim: depth = None
4.6111 	EXP 	MovieStim: colorSpace = None
4.6111 	EXP 	MovieStim: opacity = None
4.6111 	EXP 	MovieStim: size = None
4.6111 	EXP 	MovieStim: ori = None
4.6111 	EXP 	MovieStim: autoLog = None
4.6111 	EXP 	MovieStim: units = None
4.6111 	EXP 	Set movie movie=videos/bandit_ref_headbutt.avi
4.6111 	EXP 	MovieStim: pos = None
4.6111 	EXP 	MovieStim: depth = None
4.6111 	EXP 	MovieStim: colorSpace = None
4.6111 	EXP 	MovieStim: opacity = None
4.6111 	EXP 	MovieStim: size = None
4.6111 	EXP 	MovieStim: ori = None
4.6111 	EXP 	MovieStim: autoDraw = None
4.6111 	EXP 	MovieStim: autoDraw = None
5.4212 	DATA 	Mouse: Left button down, pos=(918,863)
5.4240 	EXP 	Imported images.csv as conditions, 5 conditions, 4 params
5.4246 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
5.4258 	EXP 	New trial (rep=0, index=0): {'color': u'Red', 'verb': u'On', 'names': u'mountie', 'object': u'Stool'}
5.4430 	EXP 	MovieStim: autoDraw = None
5.4430 	EXP 	MovieStim: autoDraw = None
5.4430 	EXP 	Set image_2 image=images/mountieOnRedStool.png
5.4430 	EXP 	ImageStim: autoDraw = None
5.5551 	DATA 	Mouse: Left button up, pos=(917,863)
7.5553 	DATA 	Mouse: Left button down, pos=(1224,827)
7.5563 	EXP 	New trial (rep=0, index=1): {'color': u'Red', 'verb': u'With', 'names': u'hunter', 'object': u'Stool'}
7.5706 	EXP 	ImageStim: autoDraw = None
7.5706 	EXP 	Set image_2 image=images/hunterWithRedStool.png
7.5706 	EXP 	ImageStim: autoDraw = None
7.7042 	DATA 	Mouse: Left button up, pos=(1224,827)
9.4541 	DATA 	Mouse: Left button down, pos=(1099,902)
9.4549 	EXP 	New trial (rep=0, index=2): {'color': u'Red', 'verb': u'On', 'names': u'hunter', 'object': u'Stool'}
9.4711 	EXP 	ImageStim: autoDraw = None
9.4711 	EXP 	Set image_2 image=images/hunterOnRedStool.png
9.4711 	EXP 	ImageStim: autoDraw = None
9.6041 	DATA 	Mouse: Left button up, pos=(1099,899)
10.2715 	DATA 	Mouse: Left button down, pos=(1157,894)
10.2723 	EXP 	New trial (rep=0, index=3): {'color': u'Blue', 'verb': u'Nextto', 'names': u'hunter', 'object': u'Stool'}
10.2873 	EXP 	ImageStim: autoDraw = None
10.2873 	EXP 	Set image_2 image=images/hunterNexttoBlueStool.png
10.2873 	EXP 	ImageStim: autoDraw = None
10.3888 	DATA 	Mouse: Left button up, pos=(1157,894)
10.7040 	DATA 	Mouse: Left button down, pos=(1157,892)
10.7048 	EXP 	New trial (rep=0, index=4): {'color': u'Red', 'verb': u'On', 'names': u'mountie', 'object': u'Skateboard'}
10.7220 	EXP 	ImageStim: autoDraw = None
10.7220 	EXP 	Set image_2 image=images/mountieOnRedSkateboard.png
10.7220 	EXP 	ImageStim: autoDraw = None
10.8385 	DATA 	Mouse: Left button up, pos=(1157,892)
11.0874 	DATA 	Mouse: Left button down, pos=(1157,892)
