2.4190 	EXP 	Imported test.csv as conditions, 3 conditions, 3 params
2.4193 	EXP 	Created sequence: sequential, trialTypes=3, nReps=5, seed=None
2.4544 	EXP 	New trial (rep=0, index=0): {'verb': u'headbutt', 'actor': u'bandit', 'reciever': u'chef'}
2.5067 	EXP 	ImageStim: autoLog = None
2.5067 	EXP 	ImageStim: units = None
2.5067 	EXP 	ImageStim: useShaders = None
2.5067 	EXP 	ImageStim: size = None
2.5067 	EXP 	ImageStim: pos = None
2.5067 	EXP 	ImageStim: ori = None
2.5067 	EXP 	ImageStim: depth = None
2.5067 	EXP 	ImageStim: contrast = None
2.5067 	EXP 	ImageStim: opacity = None
2.5067 	EXP 	MovieStim: autoLog = None
2.5067 	EXP 	MovieStim: units = None
2.5067 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
2.5067 	EXP 	MovieStim: pos = None
2.5067 	EXP 	MovieStim: depth = None
2.5067 	EXP 	MovieStim: colorSpace = None
2.5067 	EXP 	MovieStim: opacity = None
2.5067 	EXP 	MovieStim: size = None
2.5067 	EXP 	MovieStim: ori = None
2.5067 	EXP 	MovieStim: autoLog = None
2.5067 	EXP 	MovieStim: units = None
2.5067 	EXP 	Set movie_2 movie=videos/bandit_chef_headbutt.avi
2.5067 	EXP 	MovieStim: pos = None
2.5067 	EXP 	MovieStim: depth = None
2.5067 	EXP 	MovieStim: colorSpace = None
2.5067 	EXP 	MovieStim: opacity = None
2.5067 	EXP 	MovieStim: size = None
2.5067 	EXP 	MovieStim: ori = None
2.5067 	EXP 	MovieStim: autoDraw = None
2.5067 	EXP 	MovieStim: autoDraw = None
7.2942 	DATA 	Mouse: Left button down, pos=(1250,770)
7.2942 	DATA 	Mouse: Left button up, pos=(1250,769)
7.2947 	DATA 	Keypress: right
7.4956 	EXP 	Set movie finished
7.4956 	EXP 	Set movie_2 finished
8.0396 	EXP 	Set  sound=C
8.0406 	EXP 	Set  sound=button.wav
8.0413 	EXP 	New trial (rep=0, index=1): {'verb': u'knockover', 'actor': u'bandit', 'reciever': u'hunter'}
8.0765 	EXP 	MovieStim: autoDraw = None
8.0765 	EXP 	MovieStim: autoDraw = None
