1.7385 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
2.6712 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.6715 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.7318 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.8869 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
2.8869 	EXP 	Sound  started
3.4202 	EXP 	TextStim: autoLog = None
3.4202 	EXP 	TextStim: units = None
3.4202 	EXP 	TextStim: useShaders = None
3.4202 	EXP 	TextStim: depth = None
3.4202 	EXP 	TextStim: ori = None
3.4202 	EXP 	TextStim: pos = None
3.4202 	EXP 	TextStim: colorSpace = None
3.4202 	EXP 	TextStim: opacity = None
3.4202 	EXP 	TextStim: contrast = None
3.4202 	EXP 	ImageStim: autoLog = None
3.4202 	EXP 	ImageStim: units = None
3.4202 	EXP 	ImageStim: useShaders = None
3.4202 	EXP 	ImageStim: size = None
3.4202 	EXP 	ImageStim: pos = None
3.4202 	EXP 	ImageStim: ori = None
3.4202 	EXP 	ImageStim: depth = None
3.4202 	EXP 	ImageStim: contrast = None
3.4202 	EXP 	ImageStim: opacity = None
3.4202 	EXP 	ImageStim: autoLog = None
3.4202 	EXP 	ImageStim: units = None
3.4202 	EXP 	ImageStim: useShaders = None
3.4202 	EXP 	ImageStim: size = None
3.4202 	EXP 	ImageStim: pos = None
3.4202 	EXP 	ImageStim: ori = None
3.4202 	EXP 	ImageStim: depth = None
3.4202 	EXP 	ImageStim: contrast = None
3.4202 	EXP 	ImageStim: opacity = None
3.4202 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
3.4202 	EXP 	TextStim: autoDraw = None
3.4202 	EXP 	ImageStim: autoDraw = None
3.4202 	EXP 	TextStim: autoDraw = None
3.4202 	EXP 	ImageStim: autoDraw = None
3.4202 	EXP 	MovieStim: autoLog = None
3.4202 	EXP 	MovieStim: units = None
3.4202 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
3.4202 	EXP 	MovieStim: pos = None
3.4202 	EXP 	MovieStim: depth = None
3.4202 	EXP 	MovieStim: colorSpace = None
3.4202 	EXP 	MovieStim: opacity = None
3.4202 	EXP 	MovieStim: size = None
3.4202 	EXP 	MovieStim: ori = None
3.4202 	EXP 	MovieStim: autoLog = None
3.4202 	EXP 	MovieStim: units = None
3.4202 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
3.4202 	EXP 	MovieStim: pos = None
3.4202 	EXP 	MovieStim: depth = None
3.4202 	EXP 	MovieStim: colorSpace = None
3.4202 	EXP 	MovieStim: opacity = None
3.4202 	EXP 	MovieStim: size = None
3.4202 	EXP 	MovieStim: ori = None
3.4202 	EXP 	MovieStim: autoDraw = None
3.4202 	EXP 	MovieStim: autoDraw = None
3.4205 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.4205 	EXP 	Sound  started
3.4352 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.4353 	EXP 	Sound  started
3.4518 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.4518 	EXP 	Sound  started
3.4690 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.4690 	EXP 	Sound  started
3.4855 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.4855 	EXP 	Sound  started
3.5018 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5019 	EXP 	Sound  started
3.5186 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5186 	EXP 	Sound  started
3.5358 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5358 	EXP 	Sound  started
3.5519 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5519 	EXP 	Sound  started
3.5690 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5690 	EXP 	Sound  started
3.5850 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5850 	EXP 	Sound  started
3.6022 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6022 	EXP 	Sound  started
