2.5511 	EXP 	Imported test.csv as conditions, 3 conditions, 3 params
2.5518 	EXP 	Created sequence: sequential, trialTypes=3, nReps=5, seed=None
2.5994 	EXP 	New trial (rep=0, index=0): {'verb': u'headbutt', 'actor': u'bandit', 'reciever': u'chef'}
2.6527 	EXP 	MovieStim: autoLog = None
2.6527 	EXP 	MovieStim: units = None
2.6527 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
2.6527 	EXP 	MovieStim: pos = None
2.6527 	EXP 	MovieStim: depth = None
2.6527 	EXP 	MovieStim: colorSpace = None
2.6527 	EXP 	MovieStim: opacity = None
2.6527 	EXP 	MovieStim: size = None
2.6527 	EXP 	MovieStim: ori = None
2.6527 	EXP 	MovieStim: autoLog = None
2.6527 	EXP 	MovieStim: units = None
2.6527 	EXP 	Set movie_2 movie=videos/bandit_chef_headbutt.avi
2.6527 	EXP 	MovieStim: pos = None
2.6527 	EXP 	MovieStim: depth = None
2.6527 	EXP 	MovieStim: colorSpace = None
2.6527 	EXP 	MovieStim: opacity = None
2.6527 	EXP 	MovieStim: size = None
2.6527 	EXP 	MovieStim: ori = None
2.6527 	EXP 	MovieStim: autoDraw = None
2.6527 	EXP 	MovieStim: autoDraw = None
7.6419 	EXP 	Set movie finished
7.6419 	EXP 	Set movie_2 finished
7.6427 	EXP 	New trial (rep=0, index=1): {'verb': u'knockover', 'actor': u'bandit', 'reciever': u'hunter'}
7.6830 	EXP 	MovieStim: autoDraw = None
7.6830 	EXP 	MovieStim: autoDraw = None
7.6830 	EXP 	MovieStim: autoLog = None
7.6830 	EXP 	MovieStim: units = None
7.6830 	EXP 	Set movie movie=videos/bandit_hunter_knockover.avi
7.6830 	EXP 	MovieStim: pos = None
7.6830 	EXP 	MovieStim: depth = None
7.6830 	EXP 	MovieStim: colorSpace = None
7.6830 	EXP 	MovieStim: opacity = None
7.6830 	EXP 	MovieStim: size = None
7.6830 	EXP 	MovieStim: ori = None
7.6830 	EXP 	MovieStim: autoLog = None
7.6830 	EXP 	MovieStim: units = None
7.6830 	EXP 	Set movie_2 movie=videos/bandit_hunter_knockover.avi
7.6830 	EXP 	MovieStim: pos = None
7.6830 	EXP 	MovieStim: depth = None
7.6830 	EXP 	MovieStim: colorSpace = None
7.6830 	EXP 	MovieStim: opacity = None
7.6830 	EXP 	MovieStim: size = None
7.6830 	EXP 	MovieStim: ori = None
