2.8301 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
3.9865 	EXP 	Imported test.csv as conditions, 3 conditions, 10 params
3.9868 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.0544 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
4.1112 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1113 	EXP 	Sound  started
4.6317 	EXP 	ImageStim: autoLog = None
4.6317 	EXP 	ImageStim: units = None
4.6317 	EXP 	ImageStim: useShaders = None
4.6317 	EXP 	ImageStim: size = None
4.6317 	EXP 	ImageStim: pos = None
4.6317 	EXP 	ImageStim: ori = None
4.6317 	EXP 	ImageStim: depth = None
4.6317 	EXP 	ImageStim: contrast = None
4.6317 	EXP 	ImageStim: opacity = None
4.6317 	EXP 	MovieStim: autoLog = None
4.6317 	EXP 	MovieStim: units = None
4.6317 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.6317 	EXP 	MovieStim: pos = None
4.6317 	EXP 	MovieStim: depth = None
4.6317 	EXP 	MovieStim: colorSpace = None
4.6317 	EXP 	MovieStim: opacity = None
4.6317 	EXP 	MovieStim: size = None
4.6317 	EXP 	MovieStim: ori = None
4.6317 	EXP 	MovieStim: autoLog = None
4.6317 	EXP 	MovieStim: units = None
4.6317 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
4.6317 	EXP 	MovieStim: pos = None
4.6317 	EXP 	MovieStim: depth = None
4.6317 	EXP 	MovieStim: colorSpace = None
4.6317 	EXP 	MovieStim: opacity = None
4.6317 	EXP 	MovieStim: size = None
4.6317 	EXP 	MovieStim: ori = None
4.6317 	EXP 	MovieStim: autoDraw = None
4.6317 	EXP 	MovieStim: autoDraw = None
4.6322 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6322 	EXP 	Sound  started
4.6468 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6469 	EXP 	Sound  started
4.6625 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6626 	EXP 	Sound  started
4.6794 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6794 	EXP 	Sound  started
4.6967 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.6968 	EXP 	Sound  started
4.7127 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7127 	EXP 	Sound  started
4.7303 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7303 	EXP 	Sound  started
4.7468 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7469 	EXP 	Sound  started
4.7619 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7619 	EXP 	Sound  started
