1.9946 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
2.8712 	EXP 	Imported test.csv as conditions, 3 conditions, 10 params
2.8715 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.9311 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.9983 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
2.9983 	EXP 	Sound  started
3.5357 	EXP 	ImageStim: autoLog = None
3.5357 	EXP 	ImageStim: units = None
3.5357 	EXP 	ImageStim: useShaders = None
3.5357 	EXP 	ImageStim: size = None
3.5357 	EXP 	ImageStim: pos = None
3.5357 	EXP 	ImageStim: ori = None
3.5357 	EXP 	ImageStim: depth = None
3.5357 	EXP 	ImageStim: contrast = None
3.5357 	EXP 	ImageStim: opacity = None
3.5357 	EXP 	MovieStim: autoLog = None
3.5357 	EXP 	MovieStim: units = None
3.5357 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
3.5357 	EXP 	MovieStim: pos = None
3.5357 	EXP 	MovieStim: depth = None
3.5357 	EXP 	MovieStim: colorSpace = None
3.5357 	EXP 	MovieStim: opacity = None
3.5357 	EXP 	MovieStim: size = None
3.5357 	EXP 	MovieStim: ori = None
3.5357 	EXP 	MovieStim: autoLog = None
3.5357 	EXP 	MovieStim: units = None
3.5357 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
3.5357 	EXP 	MovieStim: pos = None
3.5357 	EXP 	MovieStim: depth = None
3.5357 	EXP 	MovieStim: colorSpace = None
3.5357 	EXP 	MovieStim: opacity = None
3.5357 	EXP 	MovieStim: size = None
3.5357 	EXP 	MovieStim: ori = None
3.5357 	EXP 	MovieStim: autoDraw = None
3.5357 	EXP 	MovieStim: autoDraw = None
3.5360 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5360 	EXP 	Sound  started
3.5677 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5677 	EXP 	Sound  started
3.5839 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.5839 	EXP 	Sound  started
3.6005 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6005 	EXP 	Sound  started
3.6172 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6173 	EXP 	Sound  started
3.6344 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6344 	EXP 	Sound  started
3.6506 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6506 	EXP 	Sound  started
3.6677 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6677 	EXP 	Sound  started
3.6838 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.6838 	EXP 	Sound  started
3.7009 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7009 	EXP 	Sound  started
3.7172 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7172 	EXP 	Sound  started
3.7344 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7344 	EXP 	Sound  started
3.7674 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7674 	EXP 	Sound  started
3.7846 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7846 	EXP 	Sound  started
3.8008 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8008 	EXP 	Sound  started
3.8161 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8161 	EXP 	Sound  started
3.8331 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8331 	EXP 	Sound  started
3.8498 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8499 	EXP 	Sound  started
3.8659 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8660 	EXP 	Sound  started
3.8832 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8832 	EXP 	Sound  started
3.8993 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.8994 	EXP 	Sound  started
3.9162 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9162 	EXP 	Sound  started
3.9333 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.9333 	EXP 	Sound  started
