2.9396 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.9399 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
3.0004 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'type': u'vide', 'soundactor': u'barsu', 'actortwo': u'bandit'}
3.0357 	EXP 	TextStim: autoLog = None
3.0357 	EXP 	TextStim: units = None
3.0357 	EXP 	TextStim: useShaders = None
3.0357 	EXP 	TextStim: depth = None
3.0357 	EXP 	TextStim: ori = None
3.0357 	EXP 	TextStim: pos = None
3.0357 	EXP 	TextStim: colorSpace = None
3.0357 	EXP 	TextStim: opacity = None
3.0357 	EXP 	TextStim: contrast = None
3.0357 	EXP 	ImageStim: autoLog = None
3.0357 	EXP 	ImageStim: units = None
3.0357 	EXP 	ImageStim: useShaders = None
3.0357 	EXP 	ImageStim: size = None
3.0357 	EXP 	ImageStim: pos = None
3.0357 	EXP 	ImageStim: ori = None
3.0357 	EXP 	ImageStim: depth = None
3.0357 	EXP 	ImageStim: contrast = None
3.0357 	EXP 	ImageStim: opacity = None
3.0357 	EXP 	ImageStim: autoLog = None
3.0357 	EXP 	ImageStim: units = None
3.0357 	EXP 	ImageStim: useShaders = None
3.0357 	EXP 	ImageStim: size = None
3.0357 	EXP 	ImageStim: pos = None
3.0357 	EXP 	ImageStim: ori = None
3.0357 	EXP 	ImageStim: depth = None
3.0357 	EXP 	ImageStim: contrast = None
3.0357 	EXP 	ImageStim: opacity = None
3.0357 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
3.0357 	EXP 	TextStim: autoDraw = None
3.0357 	EXP 	ImageStim: autoDraw = None
3.7036 	DATA 	Mouse: Left button down, pos=(147,414)
3.7188 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
3.7188 	EXP 	Sound  started
4.0846 	DATA 	Mouse: Left button up, pos=(146,414)
4.2375 	EXP 	TextStim: autoDraw = None
4.2375 	EXP 	ImageStim: autoDraw = None
4.2375 	EXP 	MovieStim: autoLog = None
4.2375 	EXP 	MovieStim: units = None
4.2375 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.2375 	EXP 	MovieStim: pos = None
4.2375 	EXP 	MovieStim: depth = None
4.2375 	EXP 	MovieStim: colorSpace = None
4.2375 	EXP 	MovieStim: opacity = None
4.2375 	EXP 	MovieStim: size = None
4.2375 	EXP 	MovieStim: ori = None
4.2375 	EXP 	MovieStim: autoLog = None
4.2375 	EXP 	MovieStim: units = None
4.2375 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
4.2375 	EXP 	MovieStim: pos = None
4.2375 	EXP 	MovieStim: depth = None
4.2375 	EXP 	MovieStim: colorSpace = None
4.2375 	EXP 	MovieStim: opacity = None
4.2375 	EXP 	MovieStim: size = None
4.2375 	EXP 	MovieStim: ori = None
4.2375 	EXP 	MovieStim: autoDraw = None
4.2375 	EXP 	MovieStim: autoDraw = None
4.2380 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.2380 	EXP 	Sound  started
4.2529 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.2530 	EXP 	Sound  started
4.2699 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.2699 	EXP 	Sound  started
4.2872 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.2872 	EXP 	Sound  started
4.3041 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.3041 	EXP 	Sound  started
4.3208 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.3208 	EXP 	Sound  started
4.3366 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.3366 	EXP 	Sound  started
4.3533 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.3533 	EXP 	Sound  started
4.3706 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.3706 	EXP 	Sound  started
