4.0925 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
4.0928 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.1538 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'type': u'vide', 'soundactor': u'barsu', 'actortwo': u'bandit'}
4.1904 	EXP 	TextStim: autoLog = None
4.1904 	EXP 	TextStim: units = None
4.1904 	EXP 	TextStim: useShaders = None
4.1904 	EXP 	TextStim: depth = None
4.1904 	EXP 	TextStim: ori = None
4.1904 	EXP 	TextStim: pos = None
4.1904 	EXP 	TextStim: colorSpace = None
4.1904 	EXP 	TextStim: opacity = None
4.1904 	EXP 	TextStim: contrast = None
4.1904 	EXP 	ImageStim: autoLog = None
4.1904 	EXP 	ImageStim: units = None
4.1904 	EXP 	ImageStim: useShaders = None
4.1904 	EXP 	ImageStim: size = None
4.1904 	EXP 	ImageStim: pos = None
4.1904 	EXP 	ImageStim: ori = None
4.1904 	EXP 	ImageStim: depth = None
4.1904 	EXP 	ImageStim: contrast = None
4.1904 	EXP 	ImageStim: opacity = None
4.1904 	EXP 	ImageStim: autoLog = None
4.1904 	EXP 	ImageStim: units = None
4.1904 	EXP 	ImageStim: useShaders = None
4.1904 	EXP 	ImageStim: size = None
4.1904 	EXP 	ImageStim: pos = None
4.1904 	EXP 	ImageStim: ori = None
4.1904 	EXP 	ImageStim: depth = None
4.1904 	EXP 	ImageStim: contrast = None
4.1904 	EXP 	ImageStim: opacity = None
4.1904 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
4.1904 	EXP 	TextStim: autoDraw = None
4.1904 	EXP 	ImageStim: autoDraw = None
4.6804 	DATA 	Mouse: Left button down, pos=(426,390)
4.7044 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7044 	EXP 	Sound  started
5.0709 	DATA 	Mouse: Left button up, pos=(426,390)
5.2242 	EXP 	TextStim: autoDraw = None
