chef,mountie,poke,SOV
mountie,chef,tap,OSV
ref,chef,headbutt,SOV
mountie,bandit,rock,OSV
mountie,bandit,poke,SOV
chef,mountie,stomp,SOV
bandit,mountie,kick,OSV
bandit,ref,poke,SOV
chef,mountie,rock,OSV
mountie,chef,hug,SOV
mountie,chef,kick,SOV
ref,bandit,tap,OSV
chef,ref,tap,OSV
ref,bandit,pickup,OSV
bandit,mountie,pickup,SOV
bandit,mountie,hug,SOV
ref,chef,rock,OSV
bandit,ref,headbutt,OSV
mountie,bandit,stomp,OSV
bandit,ref,stomp,SOV
ref,chef,poke,SOV
chef,ref,pickup,SOV
ref,bandit,hug,SOV
ref,chef,stomp,OSV
bandit,mountie,tap,OSV
ref,bandit,kick,SOV
bandit,ref,rock,OSV
chef,mountie,headbutt,OSV
chef,ref,kick,OSV
mountie,bandit,headbutt,SOV
chef,ref,hug,SOV
mountie,chef,pickup,OSV
